pid,name,yob,team,iscurrent
0,,1998,,1
69,Yuvraj Singh,1998,Punjab,1
70,M Kaif,1998,Chhattisgarh,1
73,Irfan Pathan,1998,Baroda,1
74,Parthiv Patel,1998,Gujarat,1
75,Harbhajan Singh,1998,Punjab,1
96,Lakshmipathy Balaji,1998,Tamil Nadu,1
145,Dinesh Karthik,1998,Tamil Nadu,1
265,MS Dhoni,1998,Jharkhand,1
269,Nehra,1998,Delhi,1
270,Joginder Sharma,1998,Haryana,1
308,Gautam Gambhir,1998,Delhi,1
413,Suresh Raina,1998,Uttar Pradesh,1
434,RP Singh,1998,Gujarat,1
463,S Sreesanth,1998,Kerala,1
466,Piyush Chawla,1998,Uttar Pradesh,1
499,W Jaffer,1998,Vidarbha,1
522,Munaf Patel,1998,Baroda,1
527,Uthappa,1998,Karnataka,1
551,Tanmay Mishra,1998,Tripura,1
574,S Badrinath,1998,Vidarbha,1
576,Rohit,1998,Mumbai,1
587,Ravindra Jadeja,1998,Saurashtra,1
590,Tanmay Srivastava,1998,UTTARAKHAND,1
592,Praveen Kumar,1998,Uttar Pradesh,1
597,Mithun Manhas,1998,Jammu and Kashmir,1
694,Manoj Tiwary,1998,Bengal,1
702,Ishant Sharma,1998,Delhi,1
790,Yusuf Pathan,1998,Baroda,1
1356,Pragyan Ojha,1998,Bengal,1
1358,Manpreet Gony,1998,Punjab,1
1446,Shikhar Dhawan,1998,Delhi,1
1447,Ajinkya Rahane,1998,Mumbai,1
1448,Cheteshwar Pujara,1998,Saurashtra,1
1449,Vinay Kumar,1998,Karnataka,1
1451,Dhawal Kulkarni,1998,Mumbai,1
1454,Amit Mishra,1998,Haryana,1
1462,Swapnil Asnodkar,1998,Goa,1
1463,Abhishek Nayar,1998,Mumbai,1
1464,Ravi Teja,1998,Andhra,1
1465,Wriddhiman Saha,1998,Bengal,1
1466,Jaydev Shah,1998,Saurashtra,1
1467,Ashok Dinda,1998,Bengal,1
1468,Rajat Bhatia,1998,Delhi,1
1472,Pradeep Sangwan,1998,Delhi,1
1477,Y Takawale,1998,NAGALAND,1
1530,Stuart Binny,1998,Karnataka,1
1593,Ravichandran Ashwin,1998,Tamil Nadu,1
1596,Faiz Fazal,1998,Vidarbha,1
1597,Murali Vijay,1998,Tamil Nadu,1
1599,Naman Ojha,1998,Madhya Pradesh,1
1600,Laxmi Shukla,1998,Bengal,1
1601,Saurabh Tiwary,1998,Jharkhand,1
1672,Arun Karthik,1998,Assam,1
1700,Rohan Raje,1998,Mumbai,1
1719,Yo Mahesh,1998,Tamil Nadu,1
1720,Abhinav Mukund,1998,Tamil Nadu,1
1726,Bhuvneshwar Kumar,1998,Uttar Pradesh,1
1793,Taruwar Kohli,1998,Punjab,1
1797,Mahesh Rawat,1998,Railways,1
1800,Nagar,1998,MEGHALAYA,1
1807,Shreevats Goswami,1998,Bengal,1
1812,Shadab Jakati,1998,Goa,1
1818,P Vijaykumar,1998,Andhra,1
1824,U Kaul,1998,CDG,1
1826,Nitin Saini,1998,Haryana,1
1828,Siddarth Kaul,1998,Punjab,1
1829,Debabrata Das,1998,Bengal,1
1830,Iqbal Abdulla,1998,Mumbai,1
1832,Yashpal Singh,1998,Services,1
1836,Manish Pandey,1998,Karnataka,1
1837,Pinal Shah,1998,Baroda,1
1844,Karn Sharma,1998,Railways,1
1849,Abhimanyu Mithun,1998,Karnataka,1
1850,Sreenath Aravind,1998,Karnataka,1
1851,Kedar Jadhav,1998,Maharashtra,1
1852,CM Gautam,1998,Karnataka,1
1854,Rajesh Bishnoi,1998,Rajasthan,1
1855,Ishank Jaggi,1998,Jharkhand,1
1858,Umesh Yadav,1998,Vidarbha,1
1860,Paras Dogra,1998,Himachal Pradesh,1
1862,Raiphi Gomez,1998,Kerala,1
1876,Anureet Singh,1998,Railways,1
1887,Arindam Ghosh,1998,Railways,1
1899,Harmeet Singh,1998,Punjab,1
1902,Jaskaran Singh,1998,Jharkhand,1
1903,Tirumalsetti Suman,1998,Hyderabad,1
1905,Abhishek Raut,1998,Odisha,1
2115,Amit Verma,1998,Assam,1
2123,Sarfaraz Ashraf,1998,BIHAR,1
2180,Abrar Kazi,1998,NAGALAND,1
2195,Mayank Agarwal,1998,Karnataka,1
2215,Ganesh Satish,1998,Vidarbha,1
3012,Ahmed Shah,1998,MANIPUR,1
5572,Akash Bhandari,1998,Hyderabad,1
6286,Shrikant Wagh,1998,Vidarbha,1
6288,Sumit Narwal,1998,Delhi,1
6291,A Paunikar,1998,Railways,1
6293,Varun Aaron,1998,Jharkhand,1
6296,Bipul Sharma,1998,Himachal Pradesh,1
6301,Ashish Reddy,1998,Hyderabad,1
6304,Rahul Sharma,1998,Punjab,1
6305,Bodapati Sumanth,1998,Andhra,1
6310,Chandan Madan,1998,Punjab,1
6311,Ambati Rayudu,1998,Baroda,1
6314,Rajagopal Sathish,1998,Tamil Nadu,1
6315,Aditya Tare,1998,Mumbai,1
6319,Mandeep Singh,1998,Punjab,1
6322,Harpreet Singh,1998,Madhya Pradesh,1
6323,Abu Nechim,1998,Assam,1
6327,Jaydev Unadkat,1998,Saurashtra,1
6328,Pankaj Singh,1998,Rajasthan,1
6375,Shrikant Mundhe,1998,Maharashtra,1
6389,Samad Fallah,1998,Maharashtra,1
6398,Harshad Khadiwale,1998,Maharashtra,1
7716,Aniruddha Joshi,1998,Karnataka,1
7810,Ankit Sharma,1998,Madhya Pradesh,1
7827,Bhargav Bhatt,1998,Baroda,1
7829,Kedar Devdhar,1998,Baroda,1
7835,Robin Bist,1998,Himachal Pradesh,1
7836,Deepak Chahar,1998,Rajasthan,1
7845,Dishant Yagnik,1998,Rajasthan,1
7846,Ashok Menaria,1998,Rajasthan,1
7902,Asad Pathan,1998,Railways,1
7904,Unmukt Chand,1998,Delhi,1
7906,Shahbaz Nadeem,1998,Jharkhand,1
7908,Amit Yadav,1998,Goa,1
7909,Mohammed Shami,1998,Bengal,1
7910,Yuzvendra Chahal,1998,Haryana,1
7913,Pawan Suyal,1998,Delhi,1
7915,Suryakumar Yadav,1998,Mumbai,1
7917,Eklavya Dwivedi,1998,Uttar Pradesh,1
7918,Dheeraj Jadhav,1998,Assam,1
7929,JS Mohammad,1998,Assam,1
7932,Prasanth Parameswaran,1998,Kerala,1
8106,Ishwar Chaudhary,1998,Gujarat,1
8107,Jalaj Saxena,1998,Madhya Pradesh,1
8175,Harshal Patel,1998,Haryana,1
8181,Mohit Sharma,1998,Haryana,1
8182,Jayant Yadav,1998,Haryana,1
8183,Ashish Hooda,1998,Haryana,1
8184,V Saxena,1998,UTTARAKHAND,1
8186,Puneet Yadav,1998,Rajasthan,1
8187,Rituraj Singh,1998,Goa,1
8190,Aniket Choudhary,1998,Rajasthan,1
8198,Baba Aparajith,1998,Tamil Nadu,1
8200,Kaushik Gandhi,1998,Tamil Nadu,1
8204,Vijay Shankar,1998,Tamil Nadu,1
8205,Akhil Herwadkar,1998,Mumbai,1
8209,Madhur Khatri,1998,Railways,1
8257,Karun Nair,1998,Karnataka,1
8258,Zol,1998,Maharashtra,1
8259,A Majumdar,1998,Bengal,1
8260,Krishnakant Upadhyay,1998,Railways,1
8261,Rahul Shukla,1998,Jharkhand,1
8264,Amitoze Singh,1998,Punjab,1
8265,Veer Pratap Singh,1998,Chhattisgarh,1
8269,Parvinder Awana,1998,Delhi,1
8270,Chirag Jani,1998,Saurashtra,1
8271,Sanju Samson,1998,Kerala,1
8273,Wankhade,1998,Vidarbha,1
8279,Manprit Juneja,1998,Gujarat,1
8280,Puneet Bisht,1998,Delhi,1
8281,Pawan Negi,1998,Delhi,1
8284,Akshath Reddy,1998,Hyderabad,1
8285,Biplab Samantray,1998,Odisha,1
8292,Kuldeep Yadav,1998,Uttar Pradesh,1
8298,Gurkeerat Singh Mann,1998,Punjab,1
8311,Akshay Darekar,1998,Maharashtra,1
8350,Smit Patel,1998,Gujarat,1
8351,Akshdeep Nath,1998,Uttar Pradesh,1
8353,Roosh Kalaria,1998,Gujarat,1
8354,Kamal Passi,1998,Services,1
8356,Sandeep Sharma,1998,Punjab,1
8358,Manan Vohra,1998,Punjab,1
8424,Hanuma Vihari,1998,Hyderabad,1
8425,Prashant Chopra,1998,Himachal Pradesh,1
8426,Harmeet Singh,1998,Tripura,1
8599,Arjit Gupta,1998,Rajasthan,1
8600,A Lamba,1998,Rajasthan,1
8608,Arnab Nandi,1998,Railways,1
8610,R Motwani,1998,Maharashtra,1
8614,Ian Dev Singh,1998,Jammu and Kashmir,1
8615,Gurvinder Singh,1998,Himachal Pradesh,1
8616,Rishi Dhawan,1998,Himachal Pradesh,1
8617,Ankit Bawne,1998,Maharashtra,1
8618,Kamlesh Makvana,1998,Saurashtra,1
8649,Mayank Sidhana,1998,Punjab,1
8654,Natraj Behera,1998,Odisha,1
8656,Gokul Sharma,1998,Assam,1
8658,Basant Mohanty,1998,Odisha,1
8659,Manisankar Murasingh,1998,Tripura,1
8661,Samar Quadri,1998,BIHAR,1
8663,AG Pradeep,1998,Andhra,1
8665,Ishwar Pandey,1998,Madhya Pradesh,1
8666,Parvinder Singh,1998,Tripura,1
8682,Bravish Shetty,1998,Tripura,1
8683,Shardul Thakur,1998,Mumbai,1
8684,Deepak Behera,1998,Odisha,1
8686,Dhiraj Singh,1998,Odisha,1
8690,Paresh Patel,1998,Odisha,1
8691,Govinda Poddar,1998,Odisha,1
8693,Alok Sahoo,1998,Odisha,1
8695,Pagadala Naidu,1998,Hyderabad,1
8696,Bavanaka Sandeep,1998,Hyderabad,1
8697,Vishal Sharma,1998,Hyderabad,1
8701,Rajwinder Singh,1998,Punjab,1
8702,Jiwanjot Singh,1998,Punjab,1
8704,Robert Fernandez,1998,Kerala,1
8707,Rohan Prem,1998,Kerala,1
8709,Sachin Baby,1998,Kerala,1
8711,Vasudevan Arundhadi Jagadeesh,1998,Kerala,1
8712,Unnikrishnan Manukrishnan,1998,Kerala,1
8713,Padmanabhan Prasanth,1998,Kerala,1
8716,Kumar Deobrat,1998,Jharkhand,1
8720,Sumit Ruikar,1998,Chhattisgarh,1
8726,Chandrakant Sakure,1998,Madhya Pradesh,1
8728,Anand Singh,1998,Jharkhand,1
8730,Gaurav Yadav,1998,Madhya Pradesh,1
8731,Rameez Khan,1998,Madhya Pradesh,1
8733,Lokesh Rahul,1998,Karnataka,1
8734,Ronit More,1998,Himachal Pradesh,1
8735,KB Pawan,1998,NAGALAND,1
8740,Sanjay Majumder,1998,Tripura,1
8741,Rana Dutta,1998,Tripura,1
8744,K Acharjee,1998,Tripura,1
8748,Rajib Saha,1998,Tripura,1
8749,Samrat Singha,1998,Tripura,1
8755,Bandaru Ayyappa,1998,Andhra,1
8758,Prasanth Kumar,1998,Andhra,1
8759,Duvvarapu Siva Kumar,1998,Andhra,1
8760,Pallavkumar Das,1998,Assam,1
8762,Rajdeep Das,1998,Assam,1
8763,Hokaito Zhimomi,1998,NAGALAND,1
8764,Pritam Debnath,1998,Assam,1
8765,Arup Das,1998,Assam,1
8768,Sibsankar Roy,1998,Assam,1
8769,Amit Sinha,1998,Assam,1
8770,Tarjinder Singh,1998,Assam,1
8772,Manan Sharma,1998,Delhi,1
8773,Milind Kumar,1998,Delhi,1
8774,Avinash Yadav,1998,Railways,1
8775,V Cheluvaraj,1998,Railways,1
8777,Hardik Rathod,1998,Saurashtra,1
8778,S Shukla,1998,Railways,1
8780,Ashish Yadav,1998,Railways,1
8785,Shakti Malviya,1998,Services,1
8786,Shadab Nazar,1998,Services,1
8787,Rajat Paliwal,1998,Services,1
8789,Nakul Harpal Verma,1998,Services,1
8791,Anshul Gupta,1998,Services,1
8794,Soumya Swain,1998,Services,1
8795,Suraj Yadav,1998,Services,1
8796,Murugan Ashwin,1998,Tamil Nadu,1
8797,M Mohammed,1998,Tamil Nadu,1
8806,Manjeet Singh,1998,Rajasthan,1
8808,Axar Patel,1998,Gujarat,1
8810,Priyank Panchal,1998,Gujarat,1
8811,Mehul Patel,1998,Gujarat,1
8813,Bhargav Merai,1998,Gujarat,1
8816,Rakesh Solanki,1998,Tripura,1
8817,Aditya Waghmode,1998,Baroda,1
8819,Abhimanyu Chauhan,1998,Chhattisgarh,1
8822,A Kumar,1998,Himachal Pradesh,1
8825,Sumeet Verma,1998,Himachal Pradesh,1
8831,Aamir Aziz Sofi,1998,Jammu and Kashmir,1
8834,Ram Dayal,1998,Jammu and Kashmir,1
8835,Manik Gupta,1998,Jammu and Kashmir,1
8837,Parvez Rasool,1998,Jammu and Kashmir,1
8839,Bandeep Singh,1998,Jammu and Kashmir,1
8843,Mohammed Mudhasir,1998,Jammu and Kashmir,1
8846,Sheldon Jackson,1998,Saurashtra,1
8849,Shaurya Sanandia,1998,Saurashtra,1
8850,Arpit Vasavada,1998,Saurashtra,1
8853,Sanjay Budhwar,1998,Haryana,1
8855,Chanderpal Saini,1998,Railways,1
8883,Domnic Muthuswami,1998,Maharashtra,1
8884,Anupam Sanklecha,1998,Maharashtra,1
8885,Reagan Pinto,1998,Goa,1
8887,Saurabh Bandekar,1998,Goa,1
8888,Amogh Sunil Desai,1998,Goa,1
8890,Keenan Vaz,1998,Goa,1
8893,Sagun Kamat,1998,Goa,1
8898,Darshan Misal,1998,Goa,1
8899,Malolan Rangarajan,1998,Tamil Nadu,1
8901,Rujul Bhatt,1998,Gujarat,1
8918,Kushang Patel,1998,Saurashtra,1
8919,Saurabh Wakaskar,1998,Railways,1
8920,Rahul Dalal,1998,ARUNACHALPRADESH,1
8922,Rahul Singh,1998,Himachal Pradesh,1
8923,Satyajeet Bachhav,1998,Maharashtra,1
8924,Rajpoot,1998,Uttar Pradesh,1
8925,Gowtham K,1998,Karnataka,1
8932,A Verma,1998,Railways,1
8933,Vaibhav Rawal,1998,Delhi,1
8934,Samit Gohel,1998,Gujarat,1
8935,Kolla Sumanth,1998,Hyderabad,1
8936,Ravi Kiran,1998,Hyderabad,1
8937,Shubham Khajuria,1998,Jammu and Kashmir,1
8941,Aditya Singh,1998,Jammu and Kashmir,1
8944,Sandeep Warrier,1998,Kerala,1
8945,Chovvakkaran Shahid,1998,Kerala,1
8948,Dasari Swaroop,1998,Andhra,1
8949,Akshay Wakhare,1998,Vidarbha,1
8954,Pritam Das,1998,Assam,1
8955,K Saikia,1998,Assam,1
8957,Waseem Raza,1998,Jammu and Kashmir,1
8961,K Abhinay,1998,Himachal Pradesh,1
8962,Baltej Singh,1998,Punjab,1
8963,Ravi Inder Singh,1998,Punjab,1
8964,Arindam Das,1998,Tripura,1
8978,OA Shah,1998,Jammu and Kashmir,1
8979,Nizar Niyas,1998,Kerala,1
8992,Sudip Chatterjee,1998,Bengal,1
8995,Mehdi Hassan,1998,Hyderabad,1
8996,Nikhil Gangta,1998,Himachal Pradesh,1
8999,Nikit Dhumal,1998,Maharashtra,1
9001,Vikas Tokas,1998,Delhi,1
9002,Ravikumar Thakur,1998,Vidarbha,1
9005,Murumulla Sriram,1998,Andhra,1
9007,Jesal Karia,1998,Gujarat,1
9010,Zahoor Ahmed Sofi,1998,Jammu and Kashmir,1
9012,Rahul Tripathi,1998,Maharashtra,1
9013,Suresh Kumar,1998,PUDUCHERRY,1
9014,Umang Sharma,1998,Uttar Pradesh,1
9015,Prashant Gupta,1998,Uttar Pradesh,1
9017,Karimuttathu Rakesh,1998,Kerala,1
9018,Nirupam Chowdhary,1998,Tripura,1
9019,Bunti Roy,1998,Tripura,1
9024,P Awasthi,1998,Railways,1
9025,Srikar Bharat,1998,Andhra,1
9028,Chirag Gandhi,1998,Gujarat,1
9031,Babul Kumar,1998,BIHAR,1
9033,Dharmendrasinh Jadeja,1998,Saurashtra,1
9038,Rahil Shah,1998,Tamil Nadu,1
9039,Manzoor Dar,1998,Jammu and Kashmir,1
9042,Jagrit Anand,1998,Delhi,1
9043,Varun Sood,1998,Delhi,1
9204,Nitish Rana,1998,Delhi,1
9205,Dhruv Shorey,1998,Delhi,1
9208,Himalaya Barad,1998,Gujarat,1
9211,Mohan Akshaya,1998,Kerala,1
9212,Karaparambil Monish,1998,Kerala,1
9213,Nikhilesh Surendran,1998,Kerala,1
9214,Barinder Sran,1998,Punjab,1
9217,Vivek Singh,1998,Bengal,1
9218,Siddhesh Lad,1998,Mumbai,1
9236,Thalaivan Sargunam,1998,PUDUCHERRY,1
9237,Tambe,1998,Mumbai,1
9238,Bodavarapu Sudhakar,1998,Andhra,1
9241,Royston Dias,1998,Mumbai,1
9244,Lukman Meriwala,1998,Baroda,1
9245,V Solanki,1998,Baroda,1
9255,Akshay Kolhar,1998,Vidarbha,1
9257,Ravi Jangid,1998,Vidarbha,1
9260,Swapan Das,1998,Tripura,1
9261,Udiyan Bose,1998,Tripura,1
9263,Keshav Kumar,1998,BIHAR,1
9266,Arabind Singh,1998,Odisha,1
9268,S Pradhan,1998,Odisha,1
9269,Ankit Yadav,1998,Odisha,1
9270,Pranay Sharma,1998,Rajasthan,1
9271,Tanveer-Ul-Haq,1998,Rajasthan,1
9276,Naren Reddy,1998,Andhra,1
9278,Jyothi Sai Krishna,1998,Andhra,1
9279,Suraj Dongre,1998,Goa,1
9281,Chama V Milind,1998,Hyderabad,1
9283,Asif Rasool,1998,Jammu and Kashmir,1
9284,Ahmed Bandy,1998,Jammu and Kashmir,1
9289,Anand Bais,1998,Madhya Pradesh,1
9290,M Singh,1998,Chhattisgarh,1
9291,Jatin Saxena,1998,Chhattisgarh,1
9295,Nikhil Naik,1998,Maharashtra,1
9298,Ankush Bains,1998,Himachal Pradesh,1
9302,Soumik Chatterjee,1998,Services,1
9308,Rishav Kalapkanti Das,1998,Assam,1
9311,Jasprit Bumrah,1998,Gujarat,1
9423,Rishi Arothe,1998,Baroda,1
9425,R Bhui,1998,Andhra,1
9426,Aamir Gani,1998,Bengal,1
9427,Deepak Hooda,1998,Baroda,1
9428,Shreyas Iyer,1998,Mumbai,1
9429,Sarfaraz Khan,1998,Uttar Pradesh,1
9430,Abhimanyu Lamba,1998,Rajasthan,1
9431,Mohammad Saif,1998,Uttar Pradesh,1
9507,Pankaj Jaiswal,1998,Himachal Pradesh,1
9509,A Sheth,1998,Baroda,1
9574,J Zope,1998,Maharashtra,1
9619,Vinoop Manoharan,1998,Kerala,1
9620,Cheepurapalli Stephen,1998,Andhra,1
9622,Aswin Crist,1998,Tamil Nadu,1
9624,Baba Indrajith,1998,Tamil Nadu,1
9629,Abhijit Chakraborty,1998,Tripura,1
9633,Rahul Kanojia,1998,Services,1
